job_roles,title,clean_desc
Real Estate Sales Agent,Real Estate Sales Agent,Past sales experience ideal Show good organizational time management skills Driven self motivated desires professional growth Tech savvy item Always consulting providing clients best service best advice nurture client relationships generate repeat referral customers Consistently reach follow leads grow sales opportunities items Benefits More job highlightsDo want part team awarded OC Best Real Estate Company LA Times OC Register Are self motivated coachable team player want go top Are hitting wall needing breakthrough Are wanting level production associations We looking agents right character talent potential run pack Compensation Responsibilities Always consulting providing clients best service best advice nurture client relationships generate repeat referral customers Consistently reach follow leads grow sales opportunities Supervise closing process provide clients efficient smooth transaction experience Keep local knowledge answer questions clients may potential homes surrounding community Rigorously prospect new business following leads pipeline ensure sales growth Qualifications CA Real Estate License Past sales experience ideal million minimum production preferred Show good organizational time management skills Driven self motivated desires professional growth Tech savvy Great communication social skills About Company Times Real Estate caters every unique circumstance formulating plan achieve clients desired end result Come see concierge level service
Apartment Rental Agent,Leasing Agent - Affordable Housing,Excellent communication interpersonal customer service organizational skills Proficient managing internal applicant database Available work flexible schedule including occasional weekends Must strong closing skills Prepare process applications leases renewals following regulatory guidelines items Benefits Comprehensive Medical Dental Vision Life Disability Flexible Spending Accounts Paid Time Off holidays items More job highlightsResponsibilities Related seeking Leasing Consultant residential housing community totaling units Odessa TX Responsibilities include Tour property show units prospective residents Prepare process applications leases renewals following regulatory guidelines Partner external parties process elements income employment verification documents Review vacancies walk inspect tour path maintain model apartments Make maintain relationships industry partners brokers Maintain daily weekly leasing reports monthly market surveys Analyze market occupancy trends shop competition identify changing market conditions Recommend track marketing avenues oversee marketing campaigns monitor traffic results Benefits Comprehensive Medical Dental Vision Life Disability Flexible Spending Accounts Paid Time Off holidays K Tuition reimbursement Robust modern fertility program Incentive bonus program Commuter benefits Employee Assistance Program Qualifications Compensation hr benefits comission Qualifications At least two years leasing experience Excellent communication interpersonal customer service organizational skills Proficient managing internal applicant database Available work flexible schedule including occasional weekends Bilingual Spanish preferred Must strong closing skills Please note Related adopted COVID vaccination policy safeguard health well employees As condition employment Related employees working site required fully vaccinated COVID unless reasonable accommodation approved otherwise required law Overview Related Management Company owner operator premier portfolio assets valued Sixty billion Our operating portfolio consists diversified mix properties including luxury rental buildings retail commercial space luxury condominium residences affordable workforce housing located throughout United States As owner developer majority RMC portfolio ensured buildings best assets respective submarkets We provide diligently maintained property management platform dedicated professionals consistently exceeds residents commercial tenants expectations Our dedication providing highest personalized level service one hallmarks company key differentiator market For please visit www Related com Related Equal Opportunity Employer For information use personal information including information submitted career opportunities please review Privacy Policy
Real Estate Advisor,Trust Real Estate Advisor II,Operational Functions Knowledge major functional processes associated operating requirements ability apply knowledge appropriately diverse situations Operational Risk Knowledge policies processes operational risk management ability use tools data best practices identify assess manage operational risk exposures Planning Tactical Strategic Ability contribute operational short term tactical years strategic years planning support overall business plan items Depending eligibility options full time employees include medical prescription drug coverage Health Savings Account feature dental vision options employee spouse child life insurance short long term disability protection maternity parental leave paid holidays vacation days occasional absence time k pension stock purchase plans dependent care reimbursement account back child elder care adoption assistance educational assistance robust wellness program financial incentives item More job highlightsPosition Overview At PNC people greatest differentiator competitive advantage markets serve We united delivering best experience customers We work together day foster inclusive workplace culture employees feel respected valued opportunity contribute company success As Trust Real Estate Advisor within PNC Asset Management Group Trust organization based Philadelphia PA Houston TX Dallas TX Birmingham AL Job Description Manages assigned trust owned real estate assets may include complex residential rental commercial farmland timber properties well oil gas mineral interests Responsible identifying mitigating escalating risk acquiring preserving managing properties Complies banks policies procedures consistent management real estate activities alignment banks fiduciary policies procedures include activities real estate purchases sales leases negotiations general property management safekeeping disposition productivity analysis bill payments tax insurance enforcement hiring contractors agents Collaborates AMG Fiduciary Counsel Market Fiduciary Advisors Directors necessary ensure risks appropriately analyzed managed escalated resolved Responsible assessing risk making recommendations accept retain sell assets Conducts annual reviews Presents recommendations Real Estate Trust Investment Committee Special Assets Committee according committee guidelines Preserves manages assigned physical properties Determines need property improvements Coordinates hiring professionals needed maintenance upkeep property Ensures properties adequately inspected valued insured ensures taxes insurance premiums property related expenses timely paid kept current Oversees activities necessary purchase sell property Determines capital improvements necessary Assesses risk transaction Presents recommendations Real Estate Trust Investment Committee Special Assets Committee Coordinates internal partners external service providers ensure smooth accurate transfer ownership PNC Employees take pride reputation continue building upon expect employees Customer Focused Knowledgeable values practices align customer needs satisfaction primary considerations business decisions able leverage information creating customized customer solutions Managing Risk Assessing effectively managing risks associated business objectives activities ensure adhere support PNC Enterprise Risk Management Framework Competencies Accuracy Attention Detail Understanding necessity value accuracy attention detail ability process information high levels accuracy Effectiveness Measurement Ability measure quality quantity work effort purpose improvement Lease Property Management Real Estate Knowledge ability manage portfolio properties perform direct buying selling renting leasing properties portfolio provide maintenance related services managed properties Operational Functions Knowledge major functional processes associated operating requirements ability apply knowledge appropriately diverse situations Operational Risk Knowledge policies processes operational risk management ability use tools data best practices identify assess manage operational risk exposures Planning Tactical Strategic Ability contribute operational short term tactical years strategic years planning support overall business plan Real Estate Property Data Analysis Knowledge ability utilize diverse data analysis processes techniques tools order analyze interpret manage property related data Work Experience Roles level typically require university college degree years relevant direct industry experience Certifications often desired In lieu degree comparable combination education experience including military service may considered Education Bachelors Additional Job Description Benefits PNC offers employees comprehensive range benefits help meet needs future Depending eligibility options full time employees include medical prescription drug coverage Health Savings Account feature dental vision options employee spouse child life insurance short long term disability protection maternity parental leave paid holidays vacation days occasional absence time k pension stock purchase plans dependent care reimbursement account back child elder care adoption assistance educational assistance robust wellness program financial incentives To learn programs including benefits part time employees visit pncbenefits com New PNC Disability Accommodations Statement The PNC workplace inclusive supportive individual needs If physical impairment might require accommodation including technical assistance PNC Careers website submission process please call select Option Recruiting contact us via email pathfinder com The Human Resources Service Center hours operation Monday Friday AM PM ET Equal Employment Opportunity EEO PNC provides equal employment opportunity qualified persons regardless race color sex religion national origin age sexual orientation gender identity disability veteran status categories protected law California Residents Refer California Consumer Privacy Act Privacy Notice gain understanding PNC may use disclose personal information hiring practices
Apartment Rental Agent,"Leasing Agent, Multifamily",General office environment May exposed external climatic environments complete job duties Drive lease closing process highlighting quality community amenities available property Assist prospects qualifying apartment home collecting appropriate information initiating background checks Ensuring fees deposits collected prospects residents timely manner Executive marketing activities drive traffic property create lasting first impression items More job highlightsJob Description PROPERTY NAME Metro Line Flats Leasing Agents responsible showing leasing apartment units prospective residents Leasing Consultants execute property marketing plan Generate interest community touring property prospects answering questions amenities local community property details Drive lease closing process highlighting quality community amenities available property Assist prospects qualifying apartment home collecting appropriate information initiating background checks Ensuring fees deposits collected prospects residents timely manner Executive marketing activities drive traffic property create lasting first impression Track leads via guest card system follow prospects Maintain knowledge local market conditions Responsible shopping local competition Daily social media engagement drive resident retention promote community lifestyle increase market position desirability Deliver unmatched service residents exceed expectations maintaining resident retention Use attention detail planning organizing skills perform required office activities coordinate paperwork related apartment home rentals Ensure aspects move process completed advance lease signing Activities may include resident screening pre tour unit income verification file maintenance compliance screening etc Ensure proper maintenance resident files Maintain professional appearance attitude times Escalate unusual property resident concerns Property Manager timely manner Additional duties assigned Job Requirements Effective communication customer service skills Basic computer skills Windows environment Internet navigation skills preferred Social media marketing experience preferred Ability interact others team environment High School diploma equivalent Bachelor Degree preferred Ability walk stand extended periods time Minimal lifting lbs General office environment May exposed external climatic environments complete job duties Cushman Wakefield provides equal employment opportunity Discrimination type tolerated Cushman Wakefield Equal Opportunity Affirmative Action employer All qualified applicants receive consideration employment without regard race color religion sex national origin sexual orientation gender identity disability protected veteran status characteristic protected state federal local law
Right of Way Agent,Electric Transmission Right of Way Agent,Working remotely foreseeable future convert office future able return Utility experience previous job stability compatibility e willingness work take direction others Planning siting acquisition permits land rights construction operation maintenance electrical gas utility facilities Perform limited planning assist route alternative analysis selection development sites corridors small moderate size gas electric utility facilities items Benefits Pay Rate hr More job highlightsSystem One currently seeking Right Way Agent month contract position located Denver CO This position client utility holding company serving million electric customers million natural gas customers Right Way Agent Responsibilities Planning siting acquisition permits land rights construction operation maintenance electrical gas utility facilities Perform limited planning assist route alternative analysis selection development sites corridors small moderate size gas electric utility facilities Negotiate landowners legal representatives acquisition management land rights described gas electric utility facilities process condemnation Prepare easement packages perform abstracting related courthouse documentation searches facilitate acquisition easement rights Prepare applications negotiate obtain necessary required permits state local land management agencies well agencies Represent company local regulatory land management agencies boards planning commissions councils Prepares project descriptions summaries responds date requests support project team makes presentations governing jurisdictions representatives public meetings order obtain approval projects Maintains general understanding applicable federal state local land rights laws codes ordinances regulations Ensure compliance land rights related permit conditions landowner agreements Makes post construction damage assessments settlement payments impacted landowners subject approved price schedules Familiar maintains Siting Land Rights computer database projects assigned position Requires close interaction multi disciplinary internal project teams involving engineering legal project management staff Support interact internal Design Operations staff Read interpret legal property descriptions Interact respond external customer inquiry professional express manner Right Way Agent Requirements High School Diploma GED Working remotely foreseeable future convert office future able return Professional Certifications SR WA CPL either International Right Way Association American Association Professional Landmen preferred Utility experience previous job stability compatibility e willingness work take direction others Duration months Location Denver CO Pay Rate hr
Real Estate Sales Agent,Real Estate Buyer's Sales Agent,Provide potential home buyers pertinent information local housing market Help clients home buying process including budgeting mortgage options Create documents representation contracts purchase agreements closing statements deeds leases close saleCompensation Are determined help buyers find home dreams We looking knowledgeable enthusiastic buyer agent join team You act buyer main point contact first message final sale ensure positive experience us If looking position excellent earning growth opportunities apply Responsibilities Coordinate efforts negotiate property sale buyer seller listing agent achieve desired results Participate open houses arrange showings show homes potential buyers Provide potential home buyers pertinent information local housing market Help clients home buying process including budgeting mortgage options Create documents representation contracts purchase agreements closing statements deeds leases close sale Qualifications Must possess great communication interpersonal skills Must valid U S driver license travel car Must demonstrate consistent record real estate success High school diploma required bachelor degree preferred Experience local real estate market general trends About Company Join Chris Timmons Group fast growing group amazing real estate professionals believe FUN making memorable experiences clients
Real Estate Valuation Analyst,"Analyst, Real Estate Advisory Group",Ability master new tasks quickly Demonstrated leadership experience strong personal integrity Ability prioritize tasks work multiple assignments manage rapidly changing assignments team environment item Independently gathering data pertinent engagement direct client interaction including personal telephone Interviews Brokers Asset Managers Reviewing industry surveys benchmarks economic demographic trends Assisting preparing presenting results analysis clear concise manner More job highlightsIn world disruption increasingly complex business challenges professionals bring truth focus Kroll Lens Our sharp analytical skills paired latest technology allow us give clients clarity answers areas business We value diverse backgrounds perspectives enable us think globally As part One team One Kroll contribute supportive collaborative work environment empowers excel Kroll Real Estate Advisory Group practice leading provider real estate valuation consulting investments transactions At Kroll work help deliver clarity clients complex governance risk transparency challenges Apply join One team One Kroll RESPONSIBILITIES Performing depth industry market competitor research Performing local national international real estate market analysis wide range public private entities using accepted relevant approaches theory Designing financial models discounted cash flow Argus Enterprise MS Excel Comparable Property Sales Models Construction Cost Models Independently gathering data pertinent engagement direct client interaction including personal telephone Interviews Brokers Asset Managers Reviewing industry surveys benchmarks economic demographic trends Assisting preparing presenting results analysis clear concise manner REQUIREMENTS Bachelor Science Business Administration Finance Accounting Economics Management concentration Finance Real Estate MS Finance MS Real Estate MBA accredited college university Minimum year experience Real Estate Valuation Consulting preferred Previous experience educational background real estate industry Strong analytical comprehension problem solving skills well strong verbal written communication skills Ability master new tasks quickly Demonstrated leadership experience strong personal integrity Ability prioritize tasks work multiple assignments manage rapidly changing assignments team environment Demonstrated commitment obtaining outstanding results In order considered position must formally apply via careers kroll com Kroll committed creating inclusive work environment We proud equal opportunity employer consider qualified applicants regardless gender gender identity race religion color nationality ethnic origin sexual orientation marital status veteran status age disability
Real Estate Sales Agent,Real Estate Sales Agent - New or Experienced,Motivated person willingness learn excel field A great communicator loves working people Entrepreneurial mindset appetite learning new skills Optimistic hardworking detail oriented comfortable technology This include negotiating prices coordinating third party entities managing transaction paperwork items Benefits You become boss earn income without limitation enjoy flexibility schedule Real estate agents independent contractors provided salary hourly wage item More job highlightsJob Description Real Estate Agent New Experienced Keller Williams Realty number one real estate brokerage country We top leaders agent count units sold closed sales volume We seeking new experienced real estate agents join brokerage Agents represent home sellers home buyers real estate transactions This include negotiating prices coordinating third party entities managing transaction paperwork Additionally agents perform strategic prospecting methods find new clients interested selling buying real estate Applicants without real estate license apply However need license become real estate agent Becoming real estate agent career change lifestyle choice If tired grind working others stuck office lifestyle great fit Keller Williams gives access industry leading technology help optimize workflow lead close In addition technology access Keller Williams provides sales training We ensure team members new seasoned training knowledge mentors thrive careers You become boss earn income without limitation enjoy flexibility schedule We show possible Responsibilities Prospect lead generate person meetings phone calls digital media open houses Represent buyers sellers start close real estate transactions Foster client relationships Negotiate purchase agreements manage client issues coordinate third party entities Qualifications Active real estate agent earn license help Motivated person willingness learn excel field A great communicator loves working people Entrepreneurial mindset appetite learning new skills Optimistic hardworking detail oriented comfortable technology Compensation Real estate agents independent contractors provided salary hourly wage This however also means income potential limit Full time real estate agents Keller Williams Realty make first years About Keller Williams Realty Who work matters Training Magazine training organization across industries US News Real Estate Company Customer Service Top Rated Workplace Veterans REAL Trends Keller Williams offices represented top real estate brokerages list franchise REAL Trends Wall Street Journal The Thousand Keller Williams agent teams ranked closed transactions sales volume franchise RIS Media Power Broker Report Keller Williams ranked Power Broker Brand home percent top brokers Realtor Magazine Keller Williams home industry leading five Under winners Forbes list happiest Companies Work Whether licensed agent seeking real estate license application welcome Powered JazzHR qPYXprZmE
Real Estate manager,Associate Real Estate Manager,Bachelor degree BA BS four year college university minimum two four years related experience training CERTIFICATES LICENSES Real Estate Salesperson license Excellent written verbal communication skills items Using independent discretion responds tenant needs ensuring administrative building technical staff resolve problems promptly contracts vendor services required Ensures services provided compliance policies procedures regulations contractual obligations standards Performs periodic regular property inspections Based independent review assessment recommends clients approves client behalf alterations maintenance reconditioning necessary items More job highlightsAssociate Real Estate Manager Job ID Posted Oct Service line Advisory Segment Role type Full time Areas Interest Property Management Location Mount Laurel New Jersey United States America Swedesboro new Jersey United States America RESPONSIBILITIES Responsible work Real Estate Manager higher staff managing aspects single property portfolio commercial industrial retail properties including marketing operations financial activities accordance real estate management agreements CBRE policies ESSENTIAL DUTIES AND RESPONSIBILITIES Using independent discretion responds tenant needs ensuring administrative building technical staff resolve problems promptly contracts vendor services required Ensures services provided compliance policies procedures regulations contractual obligations standards Performs periodic regular property inspections Based independent review assessment recommends clients approves client behalf alterations maintenance reconditioning necessary Contracts supervises vendor services required Manages gives approvals accurate payment vendor invoices behalf property owner compliance management agreement CBRE policies Manages preparation gives approvals accurate tenant billings At owner discretion markets property showing space prospective tenants Coordinates tenant move ins move outs walks spaces tenants tenant improvement department Acts key contact property owners ensure objectives met Prepares delivers timely accurate complete reports Develops controls annual budgets operating capital expenses based operating knowledge property portfolio Forecasts management plans prepares monthly performance explaining variances Collects rent pays expenses compliance lease terms Obtains account receivable aging reports independently initiates procedures address tenant delinquencies Prepares required legal notices Recommends coordinates legal action necessary Develops business relationships membership participations professional industry trade civic organizations Execute areas defined part Real Estate Manager job description duties absence Real Estate Manager Performs duties assigned SUPERVISORY RESPONSIBILITIES May directly supervise employees indirectly supervise employees absence REM Provides oversight work vendors contractors performing services properties Provides informal assistance operational guidance training coworkers May coordinate assign tasks co workers within work unit project QUALIFICATIONS To perform job successfully individual must able perform essential duty satisfactorily The requirements listed representative knowledge skill ability required Reasonable accommodations may made enable individuals disabilities perform essential functions EDUCATION EXPERIENCE Bachelor degree BA BS four year college university minimum two four years related experience training CERTIFICATES LICENSES Real Estate Salesperson license COMMUNICATION SKILLS Excellent written verbal communication skills Strong organizational analytical skills Ability provide efficient timely reliable courteous service customers Ability effectively present information FINANCIAL KNOWLEDGE Requires knowledge financial terms principles Ability calculate intermediate figures percentages discounts commissions Conducts basic financial analysis REASONING ABILITY Ability comprehend analyze interpret documents Ability solve problems involving several options situations Requires intermediate analytical quantitative skills OTHER SKILLS ABILITIES Intermediate advanced skills Microsoft Office Suite SCOPE OF RESPONSIBILITY Decisions made understanding procedures company policies achieve set results deadlines Responsible setting project deadlines Errors judgment may cause short term impact co workers supervisor SAFETY Responsible personal safety safety affected work This includes limited Complete required assigned HSE training satisfactory level Follow activity policies procedures including HSE related requirements times Participate HSE related programs activities required including incident investigations interviews auditing assessment etc Report conditions feel could result accident injury stop work required CBRE equal opportunity affirmative action employer long standing commitment providing equal employment opportunity qualified applicants regardless race color religion national origin sex sexual orientation gender identity pregnancy age citizenship marital status disability veteran status political belief basis protected applicable law CBRE equal opportunity affirmative action employer long standing commitment providing equal employment opportunity qualified applicants regardless race color religion national origin sex sexual orientation gender identity pregnancy age citizenship marital status disability veteran status political belief basis protected applicable law _NOTE _ _An additional requirement role ability comply COVID health safety protocols including COVID vaccination proof rigorous testing _ CBRE Inc Equal Opportunity Affirmative Action Employer Women Minorities Persons Disabilities US Veterans
Real Estate Advisor,"Affordable Housing Manager, Real Estate Advisory",Demonstrated analytical organizational interpersonal project management communication skills Highly developed Microsoft Suite skills Word Excel required Ability provide exceptional client service demonstrate commitment continuous learning order stay current regarding applicable strategies Assist securing financing equity sources transactions negotiation surrounding sources Assist writing editing organization work product including client reports funding applications Assist acquisition preservation disposition recapitalization strategies real estate portfolios items More job highlightsResponsibilities Are interested joining one fastest growing public accounting firms If yes consider joining Baker Tilly BT Real Estate Advisory Practice Manager This great opportunity valued business advisor delivering industry focused financial consulting services developers stakeholders multi family housing You work side side firm leadership serve clients build business direct impact firm success As one fastest growing firms nation BT ability offer upward career trajectory flexibility get work done meaningful relationships clients teammates leadership truly care development Within team Baker Tilly Housing practice deep understanding complex real estate transactions passion supporting mission community stakeholders commitment financial operational health clients organizations increasingly regulated environment We serve housing developers property owners property managers state housing credit agencies public housing authorities syndicators investors across United States clients trust proactive experienced advice manage compliance development risk strategic operational issues In past months Baker Tilly closed affordable housing deals totaling million equity LIHTC million historic tax credits involved review direct completion percent Rental Assistance Demonstration RAD applications closed RAD transactions totaling units million development costs What Manage relationships various stakeholders including clients staff various entities involved transactions Transaction structuring financial modeling Assist securing financing equity sources transactions negotiation surrounding sources Assist writing editing organization work product including client reports funding applications Assist acquisition preservation disposition recapitalization strategies real estate portfolios Assist various aspects transactions involving low income housing tax credits including preparing relevant application materials structuring credits Provide support developing presentations responses requests proposals pitch books proposals team Research industry technical issues compile data present findings General consulting assist clients achieving objectives Qualifications Successful candidates meet following requirements Bachelor degree Business Administration emphasis Accounting Finance Real Estate preferred Experience lieu degree may accepted Minimum six years low income housing tax credit experience may include underwriting modeling developing consulting similar work Understanding real estate financials operating performance Demonstrated analytical organizational interpersonal project management communication skills Highly developed Microsoft Suite skills Word Excel required Ability provide exceptional client service demonstrate commitment continuous learning order stay current regarding applicable strategies Overview Baker Tilly US LLP Baker Tilly leading advisory tax assurance firm providing clients genuine coast coast global advantage critical mass top notch talent major regions U S many world leading financial centers New York London San Francisco Los Angeles Chicago Baker Tilly independent member Baker Tilly International worldwide network independent accounting business advisory firms territories professionals combined worldwide revenue billion Many Baker Tilly roles opportunity work remotely Please discuss talent acquisition professional understand requirements opportunity exploring Baker Tilly equal opportunity affirmative action employer All qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status gender identity sexual orientation legally protected basis accordance applicable federal state local law
Apartment Rental Agent,Leasing Agent,Local area knowledge Managing referrals across departments Competency ability become competent following items More job highlightsAt Real Property Management proven experience industry leadership given us edge developing top tier property management professionals As franchisee one largest residential management corporations United States training support take job career The Leasing Agent responsible direct interaction prospective current residents The role touches leasing process introduction occupancy responsible maintaining trust communication onboarding tenant duration tenancy As licensed agent Realtor would also opportunity earn money sales agent REQUIREMENTS Licensed Agent Some experience sales marketing service related industry Computer proficiency Microsoft Office Local area knowledge Managing referrals across departments Competency ability become competent following Residential Tenancies Act Anti Discrimination Act Trade Practices Fair Trading Acts Strata Titles Legislation Certificates Registration Building Maintenance The Leasing Agent highly organized strong time management skills understanding prioritization Naturally driven provide excellent customer service instill trust Leasing Agent natural communicator good negotiation skills ability work independently professional demeanor Compensation Commission k Real Property Management leading property management franchise system offices North America managing tens thousands residential homes If self motivated reliable resourceful customer focused consider joining us You part team shares expertise makes better earning competitive wage Notice Property Management Business Solutions LLC franchisor Real Property Management franchised system Each Real Property Management franchised location independently owned operated Employment opportunities throughout franchised network listed service conveniently found interested parties one central location brand management purposes The employer position listed independent franchise owner posted position website Acknowledgement I acknowledge independent Real Property Management franchise office hires determines terms conditions employment employees Any employment benefits compensation employment practices vary location Neither Property Management Business Solutions LLC Franchisor affiliates power hire fire modify employment condition franchisee employees supervise control franchisee employee work schedule conditions employment determine rate method payment accept review maintain franchisee employment records Property Management Business Solutions LLC NOT employer joint employer job opportunities listed website ii independent franchisees iii employees independent franchisees
