job_roles,title,clean_desc
Cashier,Cashier,A Head Cashier position Cashiers support expediting price checks approving Point Sale transactions markdowns mainline registers Self Checkout Returns Pro Desk Special Services Tool Rental They provide first level escalation customer issues assist supervision coaching training Front End Associates participating training new Cashiers utilizing available tools coach develop CashiersJob Description Position Purpose Cashiers play critical customer service role providing customers fast friendly accurate safe service They process Checkout Return transactions well monitor maintain Self Checkout area They proactively seek product project knowledge provide customers information identify selling opportunities They follow policies procedures ensure shrink minimized A Head Cashier position Cashiers support expediting price checks approving Point Sale transactions markdowns mainline registers Self Checkout Returns Pro Desk Special Services Tool Rental They provide first level escalation customer issues assist supervision coaching training Front End Associates participating training new Cashiers utilizing available tools coach develop Cashiers The preferred qualification Head Cashier years Cashier experience Pay Rate
Marketing Administrator,Marketing Administrator,Assist planning marketing campaigns activities New product launch Work graphic designer Work corporate social media postings items More job highlightsTopcon Positioning Group headquartered Livermore California USA topconpositioning com We design manufacture distribute productivity tools developing brighter future Whether cultivating earth building upon Topcon brings innovation workflow automation seamless connectivity data construction geopositioning agriculture industries focused developing sustainable tomorrow Learn working us topconcareers com Topcon Solutions serves AEC industry retail division Topcon Positioning Systems Autodesk Platinum Partner The technology offerings workflows productivity solutions two brands Topcon Solutions leader industry Our vast product portfolio technical expertise across brands business savvy industry knowledge unmatched Supporting customers training technical support consulting repair specialty locations covering states Solutions Is Our Middle Name JOB PURPOSE Coordinate execute day day tasks involved business development marketing Topcon Solutions Core Job Duties Event planning management including shows webinars store events Assist planning marketing campaigns activities New product launch Work graphic designer Work corporate social media postings Order customer swag apparel ordering distribution Sales lead collection coordinate distribute proper sales representative Association membership sponsorships coordination Administrative support Director Business Development A qualified candidate organized excellent attention detail good communication skills Education Experience Associates degree years related experience desired Knowledge Skills Attributes Microsoft Office proficiency Good written verbal skills Working knowledge Customer Relationship Management CRM software preferred NetSuite specific bonus points Knowledge Marketing campaigns concepts Project Management software experience plus Company policy requires newly hired employees fully vaccinated COVID start date Company equal opportunity employer provide reasonable accommodation unvaccinated accordance federal state local law
Telemarketer,Telemarketing Lead,Must knowledgeable maintain current knowledge new existing membership programs benefits Must computer literate Once trained person must able successfully navigate functions Predictive Dialer items items Benefits Signing bonus payable installments More job highlightsAre ready grow dream career making others vacation dreams come true Marriott Vacations Worldwide world premier organization Vacation Ownership resorts destinations around globe Join team help deliver unforgettable experiences make vacation dreams come true Nature Work This position core responsibility make outbound telemarketing sales cross department disciplines including deposits international upgrades renewals lapsed members In addition person responsible assist new hire tenured training daily administrative advisors support e promocode look escalated calls problem resolution provide support feedback best practices drive improve department performance oversee sales floor needed Responsibilities Works Predictive Dialer provided lists make outbound calls targeted members renew upgrade reinstate delinquent memberships solicit deposits extended deposited weeks domestic international members Oversee sales floor needed Assist new hire tenured training Provide daily administrative advisor support e promo code look Assist handling escalated calls Assist problem resolution e resolving peers concerns product pricing membership term Provide support feedback best practices drive improve department performance Performs necessary duties process membership renewals upgrades reinstatement delinquent membership duties sending letters etc Answers questions Interval International products exchanges Meets daily weekly monthly revenue goals based upon assigned working area Maintains minimum performance call monitoring Performs related duties required Knowledge Abilities Skills Must possess minimum years leadership experience Must possess minimum years sales experience Must possess minimum years Interval Call Center experience customer facing experience similar inter company industry role Must knowledgeable maintain current knowledge new existing membership programs benefits Must computer literate Once trained person must able successfully navigate functions Predictive Dialer Must possess excellent customer skills Must excellent telephone etiquette Must possess excellent oral written communication skills Must detail oriented possess excellent organizational skills Must possess excellent negotiating sales skills Must able work shifts Physical Requirements Employees position sit extended periods time speaking phone working PC The employee also periodically stand work station utilizing extended cord headset Data entry constant information obtained members phone throughout conversation inputted alternating keyboard mouse Employee also responds member questions switching screens information Signing bonus payable installments Company requirement employee phone minimum hours per day P T employees hrs Marriott Vacations Worldwide equal opportunity employer committed hiring diverse workforce sustaining inclusive culture
Merchandise Displayer,Display Merchandiser,You thrive working independently assigned tasks look forward interacting people work You prefer stay active excited spend majority shift lifting pushing pulling cases products Lift lbs repeatedly Push pull lbs repeatedly Valid driver license Merchandisers responsible stocking displaying products shelves coolers large accounts within set territory items Benefits A company issued phone provided programed app clock scheduled shifts track mileage reimbursement scheduled shifts per week items More job highlightsJob Overview Display Merchandiser Boise Meridian Nampa Caldwell surrounding areas The Merchandiser responsible providing high quality merchandising support Keurig Dr Pepper brands retail stores within assigned territory About The Role Merchandisers responsible stocking displaying products shelves coolers large accounts within set territory They report directly assigned stores scheduled shifts may required cover routes assigned Merchandisers required use personal vehicle travel among stores territory however responsible transporting products Our products delivered advance stores A company issued phone provided programed app clock scheduled shifts track mileage reimbursement Shift Schedule Full time st shift finish scheduled shifts per week Weekends required days fall week Flexibility work overtime needed required Compensation And Benefits Pay starting per hour plus overtime hours Mileage reimbursement use personal vehicle Full benefits package available Day Medical dental vision K company match Paid weekly About You We looking self motivated customer service oriented individual enjoys working fast paced environment You thrive working independently assigned tasks look forward interacting people work You prefer stay active excited spend majority shift lifting pushing pulling cases products Taking pride work detailed oriented qualities important Please apply person searching join KDP Requirements High school diploma general equivalency diploma preferred GED Lift lbs repeatedly Push pull lbs repeatedly Valid driver license Company Overview Keurig Dr Pepper KDP leading coffee beverage company North America dual headquarters Burlington MA Plano TX annual revenue excess billion KDP holds leadership positions soft drinks specialty coffee tea water juice juice drinks mixers markets single serve coffee brewing system U S The Company maintains unrivaled distribution system enables portfolio owned licensed partner brands available nearly everywhere people shop consume beverages With wide range hot cold beverages meet virtually consumer need KDP key brands include Keurig Dr Pepper Green Mountain Coffee Roasters Canada Dry Snapple Bai Mott The Original Donut Shop The Company employs employees operates offices manufacturing plants warehouses distribution centers across North America Benefits built Our people heart business offer robust benefits support health wellness well personal financial well We also provide employee programs designed enhance professional growth development ensuring feel valued inspired appreciated work Keurig Dr Pepper Inc equal opportunity employer affirmatively seeks diversity workforce Keurig Dr Pepper Inc recruits qualified applicants advances employment employees without regard race color religion gender sex sexual orientation gender identity gender expression age disability genetic information ethnic national origin marital status veteran status status protected law EOE Minorities Females Protected Veterans Disabled
Green Marketer,"Product Manager, Monster Green",Demonstrated ability work effectively independently within collaborative team oriented environment using sound judgment decision making items Act liaison cross functional team members ensure business initiatives receive necessary focus Ex Sales Ops Customer Field Marketing New Product Development Sports Marketing Global Regions Work hand hand sales organization ensure corporate objectives met strategies programs effectively implemented items More job highlightsPosition Summary The position assists developing long short term strategies marketing plans new products packaging advertising partnerships content sales promotion programs achieve corporate profit volume share objectives The Product Manager cross functional role coordinates work many different departments people The Product Manager focused promotions designed better engage penetrate aspects brand diverse audience connection point Essential Job Functions Assist development implementation marketing objectives strategies Monster Energy Original Ab Zero Lo Carb Assault Maxx drive consumer engagement loyalty Act liaison cross functional team members ensure business initiatives receive necessary focus Ex Sales Ops Customer Field Marketing New Product Development Sports Marketing Global Regions Work hand hand sales organization ensure corporate objectives met strategies programs effectively implemented Create sales marketing materials including sell sheets presentations product samples Includes writing copy consumer facing POS website micro sites platforms Ensure product development projects moving forward schedule concept development commercialization Work creative agencies third party partnerships development implementation marketing strategies gaining maximum value marketing promotional expenditures Manage development execution National Trimester promotions Work CMM sales organization expand existing National promotions develop promotions help drive incremental business Monster Energy Manage budget marketing promotional spending assigned project responsibility Research competitor offerings react appropriate This includes evaluating data market trends impact business well competitor promotions lifestyle programs sales trends Speak present brand projects internal external audiences Support Brand Manager leading development annual brand plans marketing objectives Core focous assist Brand Manager promotions key partnerships innovation new products POS development legal administrative sales programming systems ingegration Work closely cross functional marketing teams develop cross functional marketing plans drive brand awareness retail demand Administration duties include limited submitting graphics job tickets submitting contracts processing invoices establishing new vendors leading backend fullfilment etc Other duties needed assigned Brand Manager Green Position Requirements Minimum years marketing experience preferably consumer packed goods brand lifestyle brand Bachelor degree Marketing related field Detail oriented strong organizational management skills ability work well deadlines changing environment perform multiple tasks effectively concurrently Able work effectively courteously senior executives brand team depts needed Demonstrated ability work effectively independently within collaborative team oriented environment using sound judgment decision making Excellent communication skills oral written Demonstrated proficiency Microsoft Office products Excel PowerPoint Word well proprietary software applications Ability foster relationships build rapport negotiate partnerships Ability travel time Experience lifestyle marketing product marketing cultural marketing digital media sponsorships event marketing influencers Highly motivated self starter strong sense urgency Collaborative team player Strong organizational communication skills Solid understanding lifestyle brand BS BA degree required Equal Opportunity Employer Protected Veterans Individuals Disabilities The contractor discharge manner discriminate employees applicants inquired discussed disclosed pay pay another employee applicant However employees access compensation information employees applicants part essential job functions cannot disclose pay employees applicants individuals otherwise access compensation information unless disclosure response formal complaint charge b furtherance investigation proceeding hearing action including investigation conducted employer c consistent contractor legal duty furnish information CFR c
Sales Representative,Sales - Rep Neuroscience Specialty,Bilingual skills aligned territory customer needs years sales experience pharmaceutical non pharmaceutical following completion undergraduate degree OR items Track record sales success Strive consistently achieve quarter quarter sales growth territory results exceeding sales expectations Demonstrate execution excellence within assigned territory relates targeting messaging programs budget Conduct market analysis develop implement territory business plans items More job highlightsAt Lilly unite caring discovery make life better people around world We global healthcare leader headquartered Indianapolis Indiana Our employees around world work discover bring life changing medicines need improve understanding management disease give back communities philanthropy volunteerism We give best effort work put people first We looking people determined make life better people around world Posting Location Spokane WA NS SPEC Background Are seeking career makes difference world Would like career use sales experience skills At Lilly serve extraordinary purpose We make difference people around globe discovering developing delivering medicines help live longer healthier active lives Not deliver breakthrough medications also count us develop creative solutions support communities philanthropy volunteerism For years Lilly committed helping people suffering migraine investigating dozen different compounds treatment migraine disabling headache disorders These research programs accelerated understanding disease advanced development Lilly comprehensive Migraine portfolio prevention migraine cluster headache acute treatment migraine Our goal make life better people migraine offering comprehensive solutions prevent stop disabling disease The combined clinical academic professional experience experts helps us build research portfolio identify challenges healthcare providers pinpoint needs people living migraine cluster headache Sound interesting Read find join sales team enjoy meaningful work build successful career make important contributions patients lives Responsibilities The Neurosciences Specialty Sales Representative responsible effectively managing defined territory focus health care providers area The Neurosciences specialist responsible building preference Lilly respected partner Neurosciences exceed sales targets effectively engage customers business ownership mindset effectively implement corporate strategies Territory Management Represent Lilly leader Neurosciences community marketplace Track record sales success Strive consistently achieve quarter quarter sales growth territory results exceeding sales expectations Demonstrate execution excellence within assigned territory relates targeting messaging programs budget Conduct market analysis develop implement territory business plans Identify develop influential business relationships anticipating exceeding needs key customers influencers prescribers speakers thought leaders state local advocacy groups teaching institutions managed care personnel organizations Focus developing building key resource referral networks enhance standard care neurology patients within territory Customer Focus Partner customers understand practice workflow patient needs within practice Provide resources meet customer needs disease state information diagnostic patient identification resources product specific support Assist coordinate critical activities physicians office staff drug initiation process device training patient support programs follow applicable Collaborate partner peers Neuroscience sales organization brand team deliver world class customer experience Collaborate Market Manager P P Consultant Medical Brands commercial partners ensure positive patient experience treatment Strategic Account Management Use Strategic Account Management understand map patient flow referral patterns HCPs assigned geographies Identify decision criteria barriers early detection diagnosis treatment patients including protocols care pathways specialty referral etc Utilize Lilly resources enhance customer experience among HCPs Promote product portfolio HCPs value based conversations communicate safety efficacy treatment expectations Disease State Neuroscience Market Knowledge Have external focus develop deep knowledge Neurosciences industry research local regional market trends disease state product competitor knowledge Demonstrate strong market system site care knowledge local ecosystem Aggressively pursue ongoing medical knowledge development within outside formal Lilly training reading industry technical literature e g articles journals newsletters attending medical conferences possible Share learning effectively teammates serve learning resource within Geo managed team Earn reputation subject matter authority valued resource Basic Qualifications Bachelor Degree Professional certification license required perform position required state Valid driver license acceptable driving record Qualified candidates must legally authorized employed United States Lilly anticipate providing sponsorship employment visa status e g H B TN status employment position Additional Skills Preferences Bilingual skills aligned territory customer needs years sales experience pharmaceutical non pharmaceutical following completion undergraduate degree OR years work experience following completion undergraduate degree OR Graduate degree Masters MBA PharmD Strong background navigating complex accounts within integrated health systems Product launch experience particularly new therapeutic class Ability incorporate total office selling approach account management Proven ability personalize customer approach IQ EQ balance Experience multi channel collaborative selling environment Adapt quickly changing marketplace flexible learning new products disease states time Patient centric mindset Proven ability lead service value chain exceptional leadership engaged employees exceptional customer experiences leading strong business performance across team peers leadership Strong business analytical skills business financial acumen Strong verbal written communication skills Additional Information Lives within assigned geography within miles region boundaries Approximately travel overnight travel may required Ability provide secure temperature controlled location product samples may required Travel Percentage Personnel Area ID US Lilly USA LLC Pharma Fld Workplace Arrangement Sales Country USA Lilly EEO Affirmative Action Employer discriminate basis age race color religion gender sexual orientation gender identity gender expression national origin protected veteran status disability legally protected status As condition employment Eli Lilly Company subsidiaries United States Puerto Rico must fully COVID vaccinated provide proof vaccination satisfactory company If would like request accommodation medical religious reasons may workplace_adjustment com
Door-to-Door Sales Worker,Sales Representative - Dock and Door Sales,Strong communication organizational time management skills required Strong problem solving capabilities strong sense responsibility self motivation ability work team environment necessary Must computer savvy Valid driver license good driving record Completion background check drug screen physical required Develop existing accounts seek new business items Benefits Crown offers excellent wage benefits package full time employees including Health Dental Vision Prescription Drug Plan Flexible Benefits Plan K Retirement Savings Plan Life Disability Benefits Paid Holidays Paid Vacation Tuition Reimbursement much EO AA Employer Minorities Females Protected Veterans Disabled More job highlightsLocation Cincinnati OH US buttontext c b bdc cd border px solid transparent buttontext c b bdc cd focus border px dashed important outline none important Company Description Crown Equipment Corporation one world largest lift truck manufacturers offers local support global scale manufacturing facilities worldwide retail locations countries Our global sales service network provides customers local resource wide variety quality material handling equipment fleet management solutions warehouse products support services meet needs anytime anywhere Internal Job Title DOCK DOOR SALES REPRESENTATIVE External Job Title Sales Representative Territory This position based Crown Northern Kentucky branch location provide coverage Cincinnati Ohio Northern Kentucky surrounding areas Job Responsibilities As DOCK DOCK SALES REPRESENTATIVE responsible maximizing sale dock door equipment parts service dock door within specified territory meet sales objectives Develop existing accounts seek new business Analyze opportunities identify key personnel develop strong business relationships Consult problem solve enhance Company position existing target accounts Develop territory management plan maximize time customers Develop sales strategies proposals forecasts Develop conduct product demonstrations sales presentations Prepare quotations customer correspondence Utilize online resources maintain accurate records sales calls customer files sales activity information Discuss sales activities Sales Manager Participate ongoing training programs meetings enhance product knowledge sales skills This may include traveling Northern Kentucky branch Qualifications A four year college degree equivalent experience required Strong communication organizational time management skills required Strong problem solving capabilities strong sense responsibility self motivation ability work team environment necessary Must computer savvy Valid driver license good driving record Completion background check drug screen physical required Work Authorization Crown employ legally authorized work United States This position sponsorship provided Individuals temporary visas need sponsorship work authorization future eligible hire No agency calls please Compensation And Benefits Crown offers excellent wage benefits package full time employees including Health Dental Vision Prescription Drug Plan Flexible Benefits Plan K Retirement Savings Plan Life Disability Benefits Paid Holidays Paid Vacation Tuition Reimbursement much EO AA Employer Minorities Females Protected Veterans Disabled Nearest Major Market Cincinnati Job Segment Warehouse Sales Rep Sales Manufacturing
Display Advertising Sales Representative,Multi Media Sales Consultant,Highly motivated strong organizational skills attention detail Time management skills working fast paced deadline driven environment often includes multiple concurrent projects Strong computer skills Ability work faced paced environment items Dedicate minimum hours week time prospecting new business acquisition approximately hours week servicing retaining advancing existing clients items Benefits Sign On Bonus Excellent earning potential items More job highlightsSUMMARY This sales position selling various multimedia display advertising space publication Digital Print Sign On Bonus Excellent earning potential Base Commission Some Remote Hybrid flexible position Flexible hours ESSENTIAL DUTIES AND RESPONSIBILITIES Understand product offerings provide value businesses Dedicate minimum hours week time prospecting new business acquisition approximately hours week servicing retaining advancing existing clients Complete thorough needs analysis every client make clear connections customer needs product offered well lend expertise creative development campaign Include appropriate products print digital recommended solutions Update maintain CRM daily Track calls emails appointments prospects sales cycle CRM Demonstrate ability prepare deliver customized presentations maintain acceptable presentation closing ratio Provide market industry knowledge spec campaigns solutions customers prospects Accurately identify define analyze resolve problems Follow ensure appropriate corrections made negotiate process ad adjustments well work closely credit department keep accounts current Meet revenue goals maintain acceptable closing ratio Maintain regular punctual attendance Other duties assigned EDUCATION AND EXPERIENCE Two years sales experience preferable newspaper industry media KNOWLEDGE SKILLS AND ABILITY Excellent communication skills Highly motivated strong organizational skills attention detail Time management skills working fast paced deadline driven environment often includes multiple concurrent projects Strong computer skills Ability work faced paced environment CERTIFICATES LICENSES REGISTRATIONS Must possess valid driver license driving record insurable company Must carry acceptable level vehicle insurance required company WORKING CONDITIONS Regularly required sit stand talk hear use hands fingers walk reach hands arms climb balance stoop Occasionally required lift move pounds Required use close distance color peripheral vision depth perception ability focus Works office setting outside exposed elements We committed providing equal opportunity individuals disabilities qualified We provide reasonable accommodations employees applicants disabilities qualified unless would cause undue hardship A written request must given Human Resources Application deadline At Forum Communications Company legacy deeply rooted harnessing power communication connect inform people communities serve Since everything driven creating sharing information ideas insights Today leading media technology company home family people whose passion purpose fueled collaboration innovation We believe supporting working hard towards common goals fun Come perks Excellent employee culture competitive pay k company paid volunteer time health wellness initiatives employees Additional perks full time positions include comprehensive benefits package generous paid time paid holidays paid time birthday paid parental pregnancy disability leave qualifying employees Stay people Family owned operated since development growth opportunities inclusive creative culture safe working environment employees ages backgrounds positive collaboration We equal employment opportunity employer All qualified applicants receive consideration employment without regard race color religion sex national origin disability status protected veteran status characteristic protected law FCC currently offer employer sponsorship
Demonstrators and Product Promoter,PROMOTIONS,Customer interaction retail accounts consumer POS placement regards special event competitiveness Promotion item effectiveness items More job highlightsJob DescriptionPart Time Promotion RepresentativeHours promotions vary primarily run evenings weekends Promotion Representatives responsible sale sampling company portfolio premise Responsibilities include Product knowledge Product quality assurance Customer interaction retail accounts consumer POS placement regards special event competitiveness Promotion item effectiveness Relationships service retailers co workers Recap event sign outAppearance Conduct You required brand identified company approved apparel Logoed shirts must visible event Approved pants discussed management Promotion reps allowed drink alcohol hours duty After promotion stay drink account Gather left items thank retail customer leave establishment Product Knowledge The promotion representative expected know selling points company family brands This includes product knowledge style tasting notes It important remember promoting premise models We ambassadors brands cannot expected sell product know nothing Product Quality There point sample products arent best quality All product sampled needs fresh The product also needs served desired temperature A warm sample product supposed cold isnt going win us consumers We need check product codes temperatures It also imperative draft lines clean glasses oil residue free Customer Interaction Bartenders bar backs cocktail servers best salesmen We need brief staff promotion make sure aware feature supporting Then work floor casually interact consumer Ask interested hearing promotion product leave alone If kindly engage event Do stay welcome POS Placement Getting proper signage account imperative successful promotion It informs customers event also notifies staff prepared arrival The salesperson account responsible getting POS made Items used advertise account include posters bannerstable tentspennant stringsstand upsPromotion Item Effectiveness Cost giveaways risen sharply last years It imperative cost effective items Patrons get one item depending promotion Common sense prevail terms number items given Do leave extra items account If items left bring back warehouse put back inventory Which items many discussed account manager supervisor Relationships service retailers co workers Relationships foundation business It utmost importance strengthen relationships events It best way say thank retail partners solidify partnership It imperative extend every effort get along co workers customer staff This job fun The energy atmosphere provide add customer experience We discourage boyfriends girlfriends attend promotion events On premise sampling events require focused attentive Having friends show company promotions provide added excitement participation Remember need interact entire consumer base acquaintances Keep area items samples etc separate friends Recap event sign When promotion thank owner management staff ask insights opinions whether felt event successful Have account management fill short form sign On back form provide detailed feedback regarding event turn supervisor
Sales Representative,"Enterprise Field Sales Representative, Google Cloud",Identified Google original job post Responsibilities As Enterprise Field Sales Representative manage enterprise accounts leveraging existing relationships C level executives developing new relationships acting business partner understand customer challenges goalsThe Google Cloud Platform team helps customers transform build next business technology built cloud Our products engineered security reliability scalability running full stack infrastructure applications devices hardware Our teams dedicated helping customers developers small large businesses educational institutions government agencies see benefits technology come life As part entrepreneurial team rapidly growing business play key role understanding needs customers help shape future businesses sizes use technology connect customers employees partners As Enterprise Field Sales Representative manage enterprise accounts leveraging existing relationships C level executives developing new relationships acting business partner understand customer challenges goals You lead innovative power products make organizations productive collaborative mobile using passion Google products help spread magic Google organizations around world Google Cloud provides organizations leading infrastructure platform capabilities industry solutions We deliver enterprise grade cloud solutions leverage Google cutting edge technology help companies operate efficiently adapt changing needs giving customers foundation future Customers countries turn Google Cloud trusted partner solve critical business problems
