classes
Agricultural Equipment Operator
Agricultural Inspector
Animal Hunter
Animal Trapper
Combine Operator
Cotton Grader
Crop Scout
Egg Grader
Faller
Farmworker
Feed Mixer Operator
Forestry Laborer
Fruit Buyer
Fruit Sorter
Grain Sampler
Grapple Skidder Operator
Greenhouse
Greenhouse Transplanter
Hay Baler
Irrigation Worker
Laborer
Livestock Buyer
Log Hauler
Log Roper
Logging Tractor Operator
Logging Workers
Lumber Stacker Operator
Lumberjack
Meat Grader
Nursery Worker
Pepper Picker
Pulpwood Cutter
Reforestation Worker
Timber Cutter
Timber Estimator
Tractor Operator
Veneer Grader
Wetlands Conservation Laborer
