category,title,description
Customer Service,Customer Service Representative,"Customer Support Representative

Anywhere in USA

Remote role

1 year and extendable

Shift- 6 AM EST- 10 PM PST( 3 shifts)

JD below;

Customer Support

Good English skills

Non-technical customer support role.

Problem Solving

Open for

1-2 weeks of training"
Customer Service,Customer Service Representative,"Company Description

Eurofins EAG Laboratories, a leader in analytical chemistry, advanced microscopy, surface analysis and semiconductor testing services of various types of materials from synthetic biomaterials to nanotechnology, deliver new “super materials” with the potential to transform our world. Our laboratories are at the forefront of this revolution, providing the scientific expertise and analytical techniques to support companies at every phase of the product lifecycle, from R&D to manufacturing.

Our clients include leading edge tech companies in a diverse range of industries and business sectors who design, manufacture or incorporate products for tomorrow’s technology driven world. Our scientists and engineers engage in peer-to-peer interaction to discuss and comprehensively understand client issues, challenges, goals and urgency, to define the technical problems, develop and execute analyses, and report back results. We have a growth mindset culture where individuals are encouraged to drive their own success and make their own decisions while fulfilling client needs.

Job Description

In this role, the individual will be responsible for supervising the flow of work and handling of samples between customers, CSR department and lab operations to deliver client data in a timely and reliable manner using overall knowledge of EAG's services and staff by communicating effectively with internal and external clients.

Essential Responsibilities:
• Performs a dual role by working “hands-on” customer service tasks and responsible for more complex client services and training, while functioning as a team leader in the customer service group.
• Responsible for receiving incoming samples, entering information into our database, & distributing client Purchase Orders.
• Responsible for initiating customer contact as assigned or requested, for order acquisition, invoicing, customer reporting, and follow-up for information/schedule completion of open items.
• Responsible for shipping using UPS/FED EX, picking up, dropping off, receiving samples from all client locations and disposing of samples as needed per work instructions.
• Represents the company while developing customer relationships and maintaining a high level of customer satisfaction for internal and external clients
• May be required to support as short-term, temporary backup to the organization, in covering the front office/reception duties on multi-line phone system, metering and distribution of mail, and operation of general office equipment.
• Provides cross training to for CSR department to learn all tasks related to customer services including shipping using UPS/FED EX, picking up, dropping off, receiving samples from all client locations.
• Coordinates with CSR Manager to provide clerical and administrative support as needed to various functional areas of the company; performs related clerical work such as data entry, typing, filing, sorting, faxing, mailing, or shipping, as required.
• Ensures protection of Company Confidential and Proprietary information at all times.
• Other duties as may be assigned.

Qualifications
• Previous senior level experience in customer service.
• Demonstrative experience in a position that involved delegating tasks to others.
• Ability to perform multiple tasks while meeting strict deadlines in a fast-paces environment.
• Excellent verbal and written communication skills
• Highly organized and detailed oriented individual.
• Demonstrates excellent time management skills and able to meet set deadlines.
• Strong knowledge Microsoft office programs and comfortable with a variety of office machines required.
• Able to train others on the use of these systems/programs.
• Strong numerical, oral, written language skills and the ability to type.
• Comfortable using and training others on the use of smart phones, GPS systems and multifunction copiers/scanners.
• Must have a valid DL and Good driving record.
• While performing the duties of this job, the employee is frequently required to walk, stand, sit and talk or hear.
• The employee is occasionally required to use hands to finger, handle, feel or operate objects, tools, or controls; and reach with hands and arms.
• The employee must frequently lift and/or move up to 20 pounds.
• Specific vision abilities required by this job include close vision, color vision, and the ability to adjust focus.

Additional Information

All your information will be kept confidential according to EEO guidelines.

Eurofins is a M/F, Disabled, and Veteran Equal Employment Opportunity and Affirmative Action employer"
Customer Service,Customer Support Manager,"We are looking for a Customer Support Manager - USA (m/w/x) to join our team.

As the Customer Support Manager - USA you will
• Be one of the first hires in the US and play a key role in Grover’s expansion
• Partner directly with our newly appointed GM - US to oversee all Customer Support metrics and KPIs
• Apply a results oriented approach to develop, improve, implement, build and lead the US customer support strategy
• Collaborate cross functionally with our European Operations and CS Leads to share best practices and market-level insights with key internal stakeholders
• Work with our BPO company and team to optimize and improve our CS service
• Use operational metrics to drive continuous process improvements across the customer journey lifecycle - from pre-rental to rental completion
• Track performance and prepare CS management reports
• Investigate and resolve customer complaints – particularly those of an escalated nature
• Constantly review our current operation and implement new processes to streamline and improve the customer experience

We are looking for a passionate Customer Support Manager - USA with:
• Minimum of 5 years in Customer Support functions
• Experience in e-commerce, logistics, D2C technologies is preferred
• Genuine curiosity to test, learn, iterate, and optimize
• The ability to work with Head Office functions in US and our Global CS team in Europe
• Strong written and verbal communication skills
• Strong analytical, organizational, and problem-solving skills
• Experience with communicating data-driven insights
• A proactive attitude and willingness to make customers happy
• Great communication skills, patient, empathetic, and detail-oriented
• Highly adaptable - you are flexible and look forward to new challenges
• Ability to work in a fast-paced work environment
• Passion for growth, and the desire to improve processes and efficiencies
• Experience working with BPOs is a plus
• Experience working with Intercom is a plus
• Experience with creating reports using tools like Tableau is a plus
• Fluency in Spanish is a plus
• Location: Miami or remote from the US

What we offer you:
• Competitive compensation packages
• Comprehensive health benefits
• Flexible work environment
• Commitment to transparency, openness, and DEI
• Entrepreneurial responsibility
• Career growth and development
• Virtual Events and exposure to diverse / multicultural team environment"
Customer Service,Executive Customer Representative - Miami Mirror,"Job Description

New Hires based in the US & Puerto Rico will be required to demonstrate that they have been fully vaccinated for Covid-19 or qualify for a medical or religious exemption or accommodation to this vaccination requirement, subject to applicable law

Our Sales team support our customers by providing clinical information about products, educational information, clinical training programs and resources. We support healthcare providers and healthcare systems meet the goals of the patients in their communities.

The Virology Customer Representative is a key member of the Customer Team and plays a critical role in supporting our Company's customer centric business model. They are responsible for working with the Customer Team to understand and identify customer needs, supporting pull-through activities relative to the customer strategy, keeping with our Company's values and standards as governed by our policies and ensuring that our Company is viewed as demonstrating better health outcomes to healthcare professionals and their patients.

The Virology Customer Representative demonstrates professionalism and leadership by modeling the required knowledge for successful execution of all Field Sales competencies.

Primary Responsibilities:
• Communicates product information in a way that's meaningful and relevant to each individual customer; customizes discussions and client interactions based on understanding of customer's needs
• Engages in informed discussions about products with HCP customers – knowing when and how to seek and provide additional information
• Within select customer accounts, acts as primary point of contact for customer, meets with key customers/ personnel to understand practice structure, business model, key influencers (IDS, ADAP, DOC, VAs, DOH)/ network structure, customer needs and identifies business opportunities
• For select customer accounts/ HCPs, coordinates with customer team to develop customer strategy – outlining strategy for interactions/ relationship, solutions and potential offerings for customer
• Shares learnings and best-practices from one customer to help other customers meet their needs
• Demonstrates a focus on better health outcomes (considers the HCP & patient experience)
• Provides input into resource allocation decisions across customers
• Identifies and selects programs/ services available in the library of our Company's ""resources"" to address customer needs
• Maintains current understanding of practice structure, business model, key influencers/ network structure and makes information available to relevant stakeholders
• Influences beyond their specific geography or product area
• Embraces and maximizes new technological capabilities and channels to engage customers
• Engages in all job responsibilities and activities with the highest standards of ethics and integrity, with particular emphasis on compliance with all relevant laws, policies and regulations
• The Virology Customer Representative demonstrates the ability to execute at each stage of the sales process. They create a compelling and logical rationale in positioning our Company's Virology products versus the competition by focusing on appropriate patient types and use of supportive approved resources
• Demonstrates the ability to stay ahead of market trends, assesses impact of dynamics on current business state and makes proactive recommendations to meet the future needs of the business. Demonstrates innovation, resilience and is able to adapt to ambiguous/ evolving business environments
• Demonstrates advanced ability to ask strategic, insightful questions to obtain information on customer healthcare needs. Uses the insights to position Virology products and collaborates with customers on focused and customized business strategy
• Demonstrates the ability to identify customer/ market segments and industry conditions in local market. Special emphasis on Specialty Pharmacy to leverage business opportunities and understanding of Virology products distribution channels/challenges
• Demonstrates the ability to drive results by appropriately managing the total Virology product portfolio by prioritizing individual opportunities and plan execution through customer segmentation, targeting and business analysis
• Articulates the complexities of the HIV/HCV payer environment, recognizing the role each stakeholder plays in the ability to access our Company's Virology product portfolio
• Demonstrates the ability to apply understanding of account needs and interdependencies in order to develop and execute account plans. Collaborates and models teamwork with extended members of the Virology Account Team (CLs, CTLs, Managed Care, Marketing) in the development of long-term account plans and customer centric solutions to improve value for both customers and patients
• Demonstrates the ability to embrace and maximize current and future technological capabilities and multi-channel opportunities to engage customers
• Demonstrates high-level collaboration skills to optimally maximize customer interactions and territory management with cross-functional Virology and non-Virology stakeholders such as Community Liaisons, IDS executives, fellow District members etc.
• Demonstrates the ability to forge and manage business relationships with difficult to access customers in a “no sample” environment
• Demonstrates ability to function effectively and employ a “business owner mindset” during business cycles undergoing a high-degree of change, including flexing across customer segments, product portfolios, and working in flexible matrix configurations
• Demonstrates high-level compliance with all of our Company's policies and procedures
• This territory covers: West Virginia
• The ideal location to reside is within this territory or within a reasonable commuting distance to work load center
• Travel (%) varies based on candidate’s location within the geography.
• This position reports to a Virology Customer Team Leader.

Education Minimum Requirement:
• Required: BA/BS
• Preferred: MBA/MS or advanced medical degree

Required Experience and Skills:
• At least 2 years of experience working in one or more of the following areas: Pharmaceutical/Medical Device/Healthcare, Business to Business Sales, Consulting, Customer Service or Military.
• Excellent communication skills (written and oral)
• Self- directed and organized
• Possess strong interpersonal and leadership qualities with demonstrated success in establishing and maintaining relationships in an academic or professional setting
• Excellent planning and organizational skills and good judgment
• Valid Driver’s License and ability to drive a motor vehicle.

Preferred Experience and Skills:
• Minimum of two (2) years working in one or more of the following areas: account management or sales experience in Infectious Disease and/or GI customers, with a preference for HIV and/or HCV product experience and/or launch experience
• Preference for specialty sales experience across multiple specialty markets with a preference for launch experience
• Experience in pharma, biotech or medical device sales
• Demonstrated experience developing and executing plans for engaging customers and meeting customer needs
• Demonstrated success in establishing, developing and maintaining relationships
• Prior experience working in a highly regulated industry or environment where compliance to laws and policies is critical
• Account experience working in complex hospital systems, teaching Institutions and community hospitals.
• Demonstrated skill set to identify account interdependencies and build partnerships with key stakeholders/departments
• Experience with complex payer environments, recognizing the role each stakeholder plays in the ability to access the product portfolio, especially pharmacy stakeholders
• Current disease state customers acknowledge individual as a trusted and reliable representative
• Experience interacting with scientific thought leaders and developing advocates across an adoption continuum
• Demonstrated ability to develop customer relationships in a challenging-to-access or “no sampling” environment
• High level of business acumen and account management skills
• Current relationships with key opinion leaders within designated account preferred.
• Leadership, planning and organization, self-motivation and initiative, ability to learn, understand and convey complex information.
• Understanding of the value and importance of approaching job responsibilities with ethics and integrity and working in a highly compliant environment

Our Human Health Division maintains a “patient first, profits later” ideology. The organization is comprised of sales, marketing, market access, digital analytics and commercial professionals who are passionate about their role in bringing our medicines to our customers worldwide.

Who we are …

We are known as Merck & Co., Inc., Kenilworth, New Jersey, USA in the United States and Canada and MSD everywhere else. For more than a century, we have been inventing for life, bringing forward medicines and vaccines for many of the world's most challenging diseases. Today, our company continues to be at the forefront of research to deliver innovative health solutions and advance the prevention and treatment of diseases that threaten people and animals around the world.

What we look for …

Imagine getting up in the morning for a job as important as helping to save and improve lives around the world. Here, you have that opportunity. You can put your empathy, creativity, digital mastery, or scientific genius to work in collaboration with a diverse group of colleagues who pursue and bring hope to countless people who are battling some of the most challenging diseases of our time. Our team is constantly evolving, so if you are among the intellectually curious, join us—and start making your impact today.

NOTICE FOR INTERNAL APPLICANTS

In accordance with Managers' Policy - Job Posting and Employee Placement, all employees subject to this policy are required to have a minimum of twelve (12) months of service in current position prior to applying for open positions.

If you have been offered a separation benefits package, but have not yet reached your separation date and are offered a position within the salary and geographical parameters as set forth in the Summary Plan Description (SPD) of your separation package, then you are no longer eligible for your separation benefits package. To discuss in more detail, please contact your HRBP or Talent Acquisition Advisor.

Current Employees apply HERE

Current Contingent Workers apply HERE

US and Puerto Rico Residents Only:

Our company is committed to inclusion, ensuring that candidates can engage in a hiring process that exhibits their true capabilities. Please click here if you need an accommodation during the application or hiring process.

For more information about personal rights under Equal Employment Opportunity, visit:

EEOC Poster

EEOC GINA Supplement?

OFCCP EEO Supplement

Pay Transparency Nondiscrimination

We are proud to be a company that embraces the value of bringing diverse, talented, and committed people together. The fastest way to breakthrough innovation is when diverse ideas come together in an inclusive environment. We encourage our colleagues to respectfully challenge one another’s thinking and approach problems collectively. We are an equal opportunity employer, committed to fostering an inclusive and diverse workplace.

Search Firm Representatives Please Read Carefully
Merck & Co., Inc., Kenilworth, NJ, USA, also known as Merck Sharp & Dohme Corp., Kenilworth, NJ, USA, does not accept unsolicited assistance from search firms for employment opportunities. All CVs / resumes submitted by search firms to any employee at our company without a valid written search agreement in place for this position will be deemed the sole property of our company. No fee will be paid in the event a candidate is hired by our company as a result of an agency referral where no pre-existing agreement is in place. Where agency agreements are in place, introductions are position specific. Please, no phone calls or emails.

Employee Status:
Regular

Relocation:
No relocation

VISA Sponsorship:
No"
Computer and IT,"Senior Software Engineer, High Performance Computing","Google Cloud's software engineers develop the next-generation technologies that change how billions of users connect, explore, and interact with information and one another. We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking and data storage, security, artificial intelligence, natural language processing, UI design and mobile; the list goes on and is growing every day. As a software engineer, you will work on a specific project critical to Google Cloud's needs with opportunities to switch teams and projects as you and our fast-paced business grow and evolve. You will anticipate our customer needs and be empowered to act like an owner, take action and innovate. We need our engineers to be versatile, display leadership qualities and be enthusiastic to take on new problems across the full-stack as we continue to push technology forward.

As a Senior Software Engineer, you will help make Google Cloud Platform (GCP) the preferred choice for High Performance Computing (HPC) practitioners and developers. From small start ups to enterprises, Google Cloud offers everyone access to massive compute resources.

In this role, you will deliver fast performance that's easy to use and offers industry leading cost/performance. You will be in direct contact with our customers (e.g., scientists, researchers, engineers and developers) who are driving the boundaries of science. You will enable their success while expanding the envelope of what is possible in a public cloud.

Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible"
Computer and IT,Software Engineer - Full Time (US),"At Citadel, our engineers work in small teams to turn the best ideas into high-performing and resilient technology. With short development cycles, work rapidly goes into production. As an engineer, you can create systems architectures, develop platforms and build web frameworks. You’ll have access to state-of-the-art tools and apply innovative techniques including distributed computing, natural language processing, machine learning and more.

Your Objectives:
• Create technological tools that bring trading strategies to life
• Develop high-performance, large data research platforms
• Work in small teams to build the future of finance

Your Skills & Talents:
• Degree in Computer Science, Computer Engineering or related fields (Bachelor’s, Master’s, PhD)
• Exceptional programming and design skills
• Strong analytical skills and familiarity with probability and statistics
• Ability to communicate effectively in a collaborative, complex and highly technical team environment
• Intellectual curiosity and passion for solving challenging problems using technology

Opportunities available in Chicago and New York"
Computer and IT,Applied Computer Vision Scientist: Visual Scene Understanding,"Applied Computer Vision Scientist: Visual Scene Understanding

San Jose, CA

The position focuses on research and development of computer vision and machine learning algorithms toward understanding of scenes for next generation intelligent mobility systems, including but not limited to applications in automated driving and robotics. The candidate will use state of the art methods in visual scene understanding to tackle challenging problems in multi-agent interaction modeling, explainable and interpretable behavior prediction, and video caption generation.

Key Responsibilities:
• Research and development of video-based computer vision algorithms that enable interpretation and understanding of complex traffic scenes involving high degree of interaction between road users and the environment for various driving assistance technologies
• Support creation of benchmark datasets for training and evaluation of algorithms, including experiment design, sensor calibration, managing data collection, creating data annotation guidelines, and managing annotation work with outside vendors.
• Design, development, and integration of software systems and architectures necessary to realize research prototypes
• Develop and evaluate metrics to verify reliability of proposed algorithms
• Contribute to a portfolio of patents, academic publications, and prototypes to demonstrate research value

Qualifications:
• Ph.D. or M.S. in computer science, electrical engineering, or related field
• Strong familiarity with machine learning techniques pertaining to visual scene understanding
• Familiarity with scene modeling and interpretation using spatiotemporal graphs, scene graphs, graph convolution networks, or similar graphical modeling techniques
• Experience in open-source Deep Learning frameworks such as TensorFlow or Pytorch
• Highly proficient in software engineering using C++ and Python
• Preferred hands-on experience in handling multi-modal sensor data
• Strong written and oral communication skills including development and delivery of presentations, proposals, and technical documents
• Strong publication record in computer vision or machine learning"
Computer and IT,Embedded Software Engineer,"As part of Accenture’s Industry X, the Silicon Design group is a diverse team of world class silicon engineers. We have 100+ years of cumulative hands on experience in architecture, logic design, verification, physical design, emulation and firmware . We use the latest silicon technologies and processes to help our clients create well-designed solutions to highly complex challenges. We are designing and developing next-generation, high performance SoCs, supporting our clients in their drive to deliver their product vision to their users. We are involved in all aspects of chip design from definition and architecture through to verification and signoff. Accenture engineers are true “Silicon to SW” Partners, allowing a new breed of companies in the semiconductor ecosystem to innovate in an unparalleled time to market.

Whether at our Silicon Design Center in Phoenix or at one of our other locations you will get to collaborate and innovate with the world’s leading product development companies. In our dynamic fast-paced environment you will get to make the impossible possible.

Accenture is invested in our team member’s growth and provide many opportunities for training and skills expansion.

Job Description:

- Ownership of system design and firmware on hardware prototype projects and development platforms.
- Collaborating in a team environment across engineering disciplines.
- Experimenting with and implementing interfaces to various sensors/peripherals.
- Developing USB HID based interfaces and bootloaders.
- Coding firmware to drive novel display systems and cameras.
- Devising and implementing low-latency network interface protocols.
- Coding programs and scripts as necessary to test embedded systems.
- Work closely with various core tech teams and other organizations to define prototyping scope and applications towards various technology roadmaps and products.

For now, all Accenture business travel, international and domestic, is currently restricted to client-essential sales/delivery activity only.
Please note: The safety and well-being of our people continues to be the top priority, and our decisions around travel are informed by government COVID-19 response directives, recommendations from leading health authorities and guidance from a number of infectious disease experts.

As required by the?Colorado Equal Pay Transparency Act, Accenture provides a reasonable range of minimum compensation for roles that may be hired in Colorado. Actual compensation is influenced by a wide array of factors including but not limited to skill set, level of experience, and specific office location. For the state of Colorado only, the range of starting pay for this role is

$72,400-$114,499 and information on benefits offered is here"
Education,Elementary Teacher,"Elementary Classroom Teacher, Brooklyn, New York
In-Person Work Required
• Who We Are
Explore Schools is a network of public charter schools providing 2,000
students in Brooklyn with the outstanding education they deserve. We strive
to provide students with the academic skills and critical-thinking abilities
they need to succeed in a college-preparatory high school and beyond.
• What We Believe*
We believe that all children can learn when immersed in a rich environment
full of high expectations, rigorous academics, and caring, committed adults.
We believe equity and excellence are not mutually exclusive - we can meet the
needs of all students in our schools, while actively engaging parents and
driving toward excellent academic results. We envision a pathway to equity
that features outstanding curriculum and instruction as well as ample
opportunities for students to achieve success in and out of the classroom. We
believe it is both our privilege and responsibility to help close the
opportunity gap in the Brooklyn community.
• What You'll Do*
Teaching Assistants provide support to our teachers and staff members by
fostering a culture of academic rigor and achievement. Primarily, the
Teaching Assistant will support a classroom teacher in academic and student
behavior management. You will be expected to manage the following on a daily
basis:
• Work with small groups of students to assist in reaching IEP goals
• Teach, review, and reinforce academic content
• Keep accurate & organized records of student information
• Assist in classroom set-up and logistics – prepping student materials or
manipulatives, classroom beautification and maintenance, etc.
• Support in student behavioral management and de-escalating challenging
student behaviors
• Collaborate with families and staff to support student learning
• Ensure the safety of students at all times
• Supervise students in and out of classroom as needed - this may include
but is not limited to - moving students to proper locations during fire
drills, lunch and recess duty, enrichment activities/classes, etc.
• Administrative, task-based support for teachers and operations staff
• Additional responsibilities to meet the needs of our students
• Location*
Explore Schools is a network of 8 charter schools located in Canarsie, Crown
Heights, and Flatbush communities of Brooklyn, NY. Our network office is
located in DUMBO, Brooklyn. For the 21-22 school year, our schools will be
moving back to a fully in-person model. For this specific role, in-person
work is required.
• Equal Opportunity Employer*
Explore Schools is an equal opportunity employer. We celebrate diversity and
are committed to creating an inclusive environment for all employees. We do
not discriminate against any employee or applicant for employment on the
basis of race, color, religion, gender, gender expression, age, national
origin, disability, marital status, sexual orientation, veteran or military
status"
Education,"Clinical Assistant Professor- Teachers, Schools, & Society","Classification Title:

CLIN AST PROF

Job Description:

The University of Florida invites applications for a Clinical
Assistant Professor position to work within the Teachers, Schools,
and Society (TSS) program area in the School of Teaching and
Learning. The TSS program area focuses on issues that impact 21st
century education and teacher education, as faculty and students
study the intersections of curriculum, teaching, and teacher
education with society and politics in an increasingly diverse
world. This position builds upon a rich tradition of excellence in
teaching and scholarship on the interrelationships between schools
and larger societal contexts. The successful applicant will join a
collaborative, cohesive, and energetic community of scholars within
the College that is committed to high quality teaching, research,
and service.

We welcome a candidate whose teaching and scholarship focuses on
issues of national and global importance in education including:
critical, theoretical, and innovative approaches toward educator
preparation and professional learning throughout the career span;
the roles of schooling in a democratic society; and the importance
of practitioner scholarship for educator renewal and improvement.
Our faculty and students share a commitment to vibrant and
equitable schools for a healthy democracy.

The successful applicant for the Clinical Assistant Professor
position is expected to teach and advise undergraduate students in
elementary teacher preparation & graduate students in a
professional practice doctorate; further their scholarship of
teaching at meetings of professional organizations and through
appropriate publications; and engage in service to the program,
school, college, university and profession. This 12-month
non-tenure-accruing faculty appointment will begin August
2022.

Responsibilities:
• Teach (face-to-face, blended, and/or online) courses at the
undergraduate and graduate levels.
• Advise graduate students in an online professional practice
doctorate (Ed.D.)
• Participate in program development and continuous
improvement
• Provide service to the program, school, college, university,
and the profession
• Conduct scholarly activities commensurate with expectations of
a clinical faculty member

ABOUT THE COLLEGE: The College of Education at the
University of Florida, founded in 1906, has consistently been
ranked No. 1 and No. 2 in the nation in Online Graduate Education
for the last six years, 3rd nationally for undergraduate education
and 12th nationally among public graduate colleges of education
(U.S. News & World Report). Two of the College's academic
programs occupy top-20 spots in the U.S. News rankings: Counselor
Education (5th) and Special Education (5th). Our Teachers, Schools
& Society (TSS) program was named the 2020 Program of the
Year by the Carnegie Project on the Education Doctorate
(CPED). The College has added 45 faculty in the past three years.
Cutting-edge interdisciplinary research and public
scholarship—often conducted in partnership with other UF colleges,
school districts and communities across the state and nation—are
yielding powerful learning systems and models that are helping to
transform education in today’s changing world, starting with our
youngest learners. The College is engaged in four of UF’s priority
research areas—early childhood studies, precision learning,
analysis of learning analytics, and artificial intelligence in
education. The College has 117 full-time faculty members with
distinguished records in teaching, research and service. Faculty
researchers last year garnered more than $107 million in awards
supporting studies and projects addressing education’s most
critical issues. Teaching is one of several areas of study from
which UF education students can choose. More than 3,000 education
students are enrolled on campus and online in 29 bachelor’s and
advanced degree programs and concentration areas, within nine
academic specialties: K-12 Curriculum and Instruction • Counseling
& Counselor Education • Early Childhood Education • Educational
Leadership • Higher Education Administration • Research &
Evaluation Methods • School Psychology • Special Education •
Student Personnel in Higher Education. To sustain the college's
innovative edge deep into the 21st century, heightened emphasis on
emerging technologies, advanced graduate studies and
interdisciplinary research will effectively prepare tomorrow's
leaders in all education disciplines. The College's educator
preparation programs have been continuously accredited by CAEP and
NCATE since 1954. More than 30,000 UF “EduGator” alumni are located
throughout the world. Follow us: @UF_COE (Twitter) and @UF.COE
(Facebook)

ABOUT THE UNIVERSITY: The University of Florida, founded in
1853, is a public land-grant, sea-grant and space-grant research
university and one of the most academically diverse universities in
the nation. U.S. News & World Report ranks UF 5th among public
universities. National rankings such as 2nd by Kiplinger and 20th
in Forbes in their respective lists of “Best Values in Public
Colleges” are a result of UF’s commitment to provide the highest
quality education at the best value. UF is home to 16 colleges and
more than 200 research, service and education centers, bureaus and
institutes, and boasts more than 4,000 faculty members, 50,000
students and 415,000 living alumni. Faculty scholars last year
generated more than $838 million in research awards. UF recently
launched a $70 million AI partnership with NVIDIA, taking the first
step toward ensuring equitable access to bringing AI to students
and faculty from across campus and the state. The Florida
Legislature designated UF as a “preeminent” state university in
2013. UF recently hired almost 500 new faculty.

ABOUT THE AREA: UF is situated in Gainesville in North
Central Florida, a progressive college town that blends big-city
cultural and athletic offerings with small-town friendliness and
charm, along with excellent schools. Gainesville, located about
halfway between the Atlantic Ocean and Gulf of Mexico, is often
recognized as one of America’s best college towns and is easily
accessible to three major metropolitan areas (Jacksonville, Orlando
and Tampa). The National Arbor Day Foundation has recognized
Gainesville as a “Tree City USA” every year since 1982. Add the
allure of Florida’s famous sunshine, tropical breezes, and abundant
wilderness, springs, rivers and seashores nearby, and it is little
wonder that top-caliber faculty and students find our College and
University to be the perfect balance of premier academics and a
fulfilling lifestyle.

Expected Salary:

Salary is negotiable, competitive, and commensurate with
qualifications and experience.

Minimum Requirements:
• Doctorate in Curriculum and Instruction, Social Foundations, or
closely related field
• K-12 teaching and/or leadership experience
• Demonstrated commitment to matters concerning race, class,
gender, sexuality, ability, and/or socially-just practices
• Commitment to active engagement with and/or leadership in
education professional organizations
• Record of scholarship as demonstrated through publications and
presentations at national conferences (commensurate with
experience)
• Evidence of collaboration with faculty, students, and other
stakeholders

Preferred Qualifications:
• Teaching, research, and/or service experiences with diverse
populations
• Record of excellence in teaching and/or mentoring students in
higher education contexts
• Ability to positively contribute to the regional and national
visibility of the TSS program
• A commitment to working in an interdisciplinary teaching and
learning environment
• Experience designing and delivering high quality online
courses

Special Instructions to Applicants:

Applicants for the Clinical Assistant Professor position should
send: (1) a cover letter addressing required and desired
qualifications, (2) curriculum vita, and (3) contact information
for at least three references who will be contacted and asked to
send a letter of recommendation through the online application
system. Applicants should reference requisition 519675, position
00011923. Candidates should submit application materials
electronically at https://jobs.ufl.edu . Inquiries about
the position can be addressed to search chair Dr. Alyson Adams,
adamsa@coe.ufl.edu. To ensure full consideration application
materials should be submitted by January 18, 2022. Applications
received after this date may be considered at the discretion of the
search committee and hiring authority. This position is open until
filled. If you need technical assistance, please contact our Human
Resources office at 352-392-2477.

Final candidate will be required to provide official transcript to
the hiring department upon hire. A transcript will not be
considered “official” if a designation of “Issued to Student” is
visible. Degrees earned from an education institution outside of
the United States are required to be evaluated by a professional
credentialing service provider approved by National Association of
Credential Evaluation Services (NACES), which can be found at
http://www.naces.org/ .

The University of Florida is an equal opportunity institution
dedicated to building a broadly diverse and inclusive faculty and
staff.

The University of Florida is An Equal Employment Opportunity
Institution. If an accommodation due to a disability is needed to
apply for this position, please call 352/392-2477 or the Florida
Relay System at 800/955-8771 (TDD). Hiring is contingent upon
eligibility to work in the US. Searches are conducted in accordance
with Florida's Sunshine Law.

Health Assessment Required:
No"
